Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
The Crest at Skyland Town Center,Skyland,Rental,"Delivered, Leasing Up",263  units,https://dc.urbanturf.com/pipeline/936/The_Crest_at_Skyland_Town_Center,,,                                  Rental apartments                              </p>,263.0,                  One- and two-bedroom units                </p>,,"                  Courtyard pool, fitness center, resident lounge, courtyard grilling areas, dog wash and dog park                </p>",,https://crestdc.com,Torti Gallas + Partners  ,"                December 20th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  2219 Town Center Drive SE,  Washington, DC,  20020,  ","Delivered, Leasing Up","                    Spring 2021                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",,
The Garrett at The Collective,Capitol Riverfront,Rental,"Delivered, Leasing Up",373  units,https://dc.urbanturf.com/pipeline/554/The_Garrett_at_The_Collective,,,                                  Rental apartments                              </p>,373.0,"                  Studio, one-, two- and three-bedroom apartments                </p>","                  378 - 1,417 square feet                </p>","                  Full-size basketball court, tennis court, co-working space and roof deck                </p>","                  $1,965 - $5,055                </p>",http://thecollectivedc.com/garrett/,SK+I Architecture  ,"                December 20th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  150 Eye Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2020                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",,
672 Flats,Ballston,Rental,"Delivered, Leasing Up",173  units,https://dc.urbanturf.com/pipeline/483/672_Flats,,,                                  Rental apartments                              </p>,173.0,                  One- and two-bedroom apartments                </p>,"                  634 - 1,247 square feet                </p>","                  Fitness facility, game room, party room, bicycle storage                </p>","                  $1,905 - $4,452                </p>",https://www.672flats.com,Hord Coplan Macht  ,"                December 20th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  672 North Glebe Road,  Arlington, VA,  22203,  ","Delivered, Leasing Up","                    June 2018                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.8784976,-77.1118938
Central Place,Rosslyn,Rental,"Delivered, Leasing Up",377  units,https://dc.urbanturf.com/pipeline/338/Central_Place,,,                                  Rental apartments                              </p>,377.0,"                  Studios, one-, two- and three-bedrooms                </p>","                  477 - 2,737 square feet                </p>","                  Fitness center, concierge, private parking garage, outdoor pool with grilling station and fire pit                </p>","                  $1,820 - $4,480                </p>",http://www.centralplace.com,Beyer Blinder Belle  ,"                December 11th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  1800 North Lynn Street,  Arlington, VA,  22209,  ","Delivered, Leasing Up","                    February 2017                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",38.8966619,-77.0711622
The Strand Residences,Deanwood/Hillbrook,Rental,"Delivered, Leasing Up",86  units,https://dc.urbanturf.com/pipeline/699/The_Strand_Residences,,,                                  Rental apartments                              </p>,86.0,                  One- and two-bedroom apartments                </p>,,,,https://www.thestranddc.com,PGN Architects  ,"                November 28th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  5119-5123 Nannie Helen Burroughs Avenue NE,  Washington, DC,  20019,  ","Delivered, Leasing Up",                    TBD                  </p>,38.898159,-76.9264347
Providence Place,Deanwood,Rental,"Delivered, Leasing Up",93  units,https://dc.urbanturf.com/pipeline/690/Providence_Place,,,                                  Rental apartments                              </p>,93.0,"                  One-, two-, three- and four-bedroom units                </p>",,"                  Underground parking for 48 vehicles and 34 bicycles, two courtyards, rooftop terrace, community room, gym, business center                </p>",,https://providenceplaceapts.com,Torti Gallas Urban  ,"                November 28th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  599 50th Street NE,  Washington, DC,  20019,  ","Delivered, Leasing Up",,38.8969031,-76.9297812
Sonnet,U Street Corridor,Rental,"Delivered, Leasing Up",288  units,https://dc.urbanturf.com/pipeline/340/Sonnet,,,                                  Rental apartments                              </p>,288.0,"                  Studio, one- and two-bedroom apartments                </p>","                  441 - 1,085 square feet                </p>","                  Lounge, rooftop deck with pool, fitness center, first-floor courtyard                </p>","                  $2,395 - $5,903                </p>",http://sonnetapts.com/,Eric Colbert &amp; Associates  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  1441 U Street NW,  Washington, DC,  20009,  ","Delivered, Leasing Up",                    2018                  </p>,38.917081,-77.033579
2255 Wisconsin,Glover Park,Rental,"Delivered, Leasing Up",81  units,https://dc.urbanturf.com/pipeline/443/2255_Wisconsin,,,                                  Rental apartments                              </p>,81.0,"                  Studio, one- and two-bedroom apartments                </p>",                  461 – 864 square feet                </p>,"                  Views of Observatory Circle, rooftop deck lounge, community courtyard, controlled access, garage parking, rooftop bbq station(s), bike storage facility, package receiving, service elevator access, public transportation, on-site management, pet friendly                </p>","                  $2,690 - $3,765                </p>",http://www.2255wisconsinave.com,BCT ARCHITECTS  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  2255 Wisconsin Avenue NW,  Washington, DC,  20007,  ","Delivered, Leasing Up",                    June 2015                  </p>,38.920074,-77.071258
AVA Wheaton,Silver Spring,Rental,"Delivered, Leasing Up",319  units,https://dc.urbanturf.com/pipeline/458/AVA_Wheaton,,,                                  Rental apartments                              </p>,319.0,"                  Studios, one-, two- and three-bedroom apartments                </p>","                  682 - 1,023 square feet                </p>","                  Courtyards with swimming pool, BBQ gas grills, fire pit and lounge seating, pet-friendly with WAG pet park and spa, fully-equipped fitness center, social events for residents and friends                </p>","                  $1,640 - $3,092                </p>",http://www.avaloncommunities.com/maryland/wheaton-apartments/ava-wheaton,Hord Coplan Macht  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  2425 Blueridge Avenue,  Silver Spring, MD,  20902,  ","Delivered, Leasing Up","                    Spring 2017                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",39.0431016,-77.0505439
Gallery Bethesda II,Bethesda,Rental,"Delivered, Leasing Up",219  units,https://dc.urbanturf.com/pipeline/43/Gallery_Bethesda_II,,,                                  Rental apartments                              </p>,219.0,"                  Studio-, one- and two-bedroom apartments                </p>","                  515 to 1,098 square feet                </p>","                  Rooftop lounge and pool, a gym and an outdoor kitchen                </p>","                  $1,491 to $4,095                </p>",https://gallerybethesda2.com,WDG Architecture  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  4850 Rugby Avenue,  Bethesda, MD,  20814,  ","Delivered, Leasing Up","                    Fall 2018                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.990801,-77.098409
Union Place II,NoMa,Rental,"Delivered, Leasing Up",525  units,https://dc.urbanturf.com/pipeline/740/Union_Place_II,,,                                  Rental apartments                              </p>,525.0,                  One- two- and three-bedroom apartments                </p>,,"                  Fitness center, pet-friendly, rooftop swimming pool, and outdoor courtyard                </p>","                  $1,898 - $4,762                </p>",https://www.liveunionplace.com,DCS Design  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  200 K Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    Early 2019                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",,
3315 12th Street NE,Brookland,Condo,Planned,12  units,https://dc.urbanturf.com/pipeline/1079/3315_12th_Street_NE,,,                                  Condos                              </p>,12.0,                  One- and two-bedroom residences                </p>,,,,,Dasol Engineers Architect  ,"                November 13th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  3315 12th Street NE,  Washington, DC,  20017,  ",Planned,,38.9311113,-76.9906515
The Belgard,NoMa,Rental,"Delivered, Leasing Up",346  units,https://dc.urbanturf.com/pipeline/825/The_Belgard,,,                                  Rental apartments                              </p>,346.0,"                  Studios, one- and two-bedroom apartments                </p>","                  374 - 1,120 square feet                </p>","                  Gym, dog park, three resident courtyards, roof deck with pool and grilling areas                </p>","                  $1,795 - $3,482                </p>",http://thebelgarddc.com,Hickok Cole Architects  ,"                October 9th, 2022              </p></div>, <div class=""block""><h3>Where?</h3>",",  33 N Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    Summer 2018                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.9070351,-77.0077051
